@relation tweets

@attribute text string
@attribute class {positive,negative,none}

@data
' May I please have a digital code of Borderlands 3 for XBOX One? I will... Hmm.... I will make a 5 minute video about why Borderlands is one of the most important franchises in gaming.',none
' Nah fam, you’re good. Stay right where you are. Keep covering Borderlands 3. It’s great for your channel.',positive
' Some good ones there. PS4 here. Been spending time on AC Odyssey lately. And Borderlands 3.',positive
' Actually, 8 million ',positive
'I wanna play the co-op modes in Borderlands 3 but apparently the matchmaking is bad?? I tried once like 2 weeks ago and had no issues at all but recently, I can\'t get into any games and found some posts online of people complaining about the same thing',negative
' Are people just finding out you voice characters? You’re literally FL4K in borderlands 3. Like you’re epic',negative
'Borderlands: The PreSequel BroForce Command and Conquer: Red Alert 3 The Curse of Monkey Island Dark Hill Museum of Death Dead by Daylight Dead Rising 2 DiveKick Don\'t Forget out Esports Dream Duke Nukem 3d: 20th Anniversary World Tour Escape from Monkey Island 2/?',positive
' Borderlands 3 earned it',none
' Borderlands 3 was okay Its got a lot of bugs for me tho',positive
'Check out my broadcast from my PlayStation 4! (Borderlands 3) live at ',none
'Ohey I forgot about Borderlands 3. Never finished it ',negative
' Grab Borderlands 3 for $24.99! One ',positive
'STEAL!! Grab Borderlands 3 for $24.99! Xbox One; PS4; ',none
'Whitbizzle played Borderlands 3 (PS4) in the last 24 hours ',none
' In Borderlands 3 you can play as a non-binary robot named Fl4k and you get a pet who you can make target enemies and stuff if you play as them',negative
'I feel like streaming Borderlands 3 again tonight. I\'ve beaten the story and i\'m attempting to level up to 50! Also some red chest loot available for you guys :)',none
' hi guys, a random question here. Do you have any plan to release Borderlands 3 on Steam anytime in the future ?',negative
'Borderlands 3 kicked my ass. Sorry for the short stream but my Chinese food was staring me in the face and I was hangry lmao. Might stream a little more tonight. Might not',none
'Does anyone know if BORDERLANDS 3 is any good ?',negative
'i have completely sold my soul to borderlands 3',positive
'No. 2,951: Stay Golden - Borderlands 3. Amazing it took me this long to get shift codes. ',positive
'I\'m back with more Link\'s Awakening for , and I\'ve befriended a Chain Chomp somehow. Come hang out and explore with me! Later on my channel: Rockstar and I continue to take down the establishment in Borderlands 3! 10:30 pm EST start time!',none
' They look awesome Zoe so sexy and I love the hair. My fave games are Bioshock, Borderlands, the last of us, kuon, hmmm fallout 3 and Vegas. I hope I don\'t forget...ah the forest. I think thats all. ',positive
' I\'m playing Borderlands 3 an I\'d luv it if u would have a character with sniper attributes or an attribute for our characters. Because some ppl snipe alot. Please add this to this game cause u get nothing for sniping but a trophy, ty much appreciated.',positive
' My four favorite games include Final Fantasy Tactics A2 🦲🦲🦲🦲🦲Hitman Blood Money Borderlands 2 SSX 3',positive
' There should a character with sniper attributes or an attribute for our characters. Because some ppl snipe alot. Please add this to Borderlands 3. Ty much appreciated.',none
'I have to be at work in seven hours but here i am farming legendaries on Borderlands 3 instead.',positive
'Live .tv with some Borderlands 3 and then APEX after. check it out at ',none
'i had a dream and borderlands 3 was in it but i dont rmbr what',negative
'Borderlands 3 or The Outerworlds? Have a promo to choose between the two. Suggestions?',none
'Earned 4 PSN trophies (1 silver and 3 bronze) in Borderlands 3 ',none
' 3 games IceBorne Yugioh link evolution And Borderlands 3 with that handsome dlc',none
' I agree! I\'ve been a fan of his content for years and it brings me so much joy to hear him in stuff like borderlands 3!',positive
' Hey man i haven\'t played borderlands 3 yet but if i don\'t hear \"this is my ass kicking outfit\" while i\'m going through the customisation menu for fl4k i\'m gonna be really dissapointed',positive
'I finish Borderlands 3 and i have few questions - Is Ava was intentionally made like that or they just screw up?',negative
' Damm what about us Borderlans 3 players',negative
'Check out my broadcast from my PlayStation 4! (Borderlands 3) live at ',none
' Day 3 of my Jacobs Allegiance run in Having fun in a whole different way!!! Stop by and say hello!!! ',positive
'Check out my broadcast Maliwan Raid (Borderlands 3) @Twitchtvhost live at ',none
'I think about Zer0\'s intro scene in borderlands 3 a lot ',negative
'You guys should play Borderlands 3. It\'s pretty fun. If you want to get it on PC use this link, it supports me. ',positive
' totally understand. I\'ve been forcing myself back to finishing my Borderlands 3 videos BEFORE playing Runeterra/Gwent. I don\'t stream and I don\'t know if I really ever will.',positive
