@relation tweets

@attribute text string
@attribute class {positive,negative,none}

@data
' Persona 5, Horizon Zero Dawn, Witcher 3, Apex, Blooodbourne, Bioshock, Spiderman, Lego Marvel Heroes! Marvel vs Capcom 3 (because the store doesn’t have two!) Diablo 3, God of War, the Outer World!',positive
'Yo. I\'m so glad that I decided to play Horizon: Zero Dawn. is right. This game is simply breathtaking. ',positive
' Horizon Zero Dawn is in the letter O. O means out. Everybody knows it. Out of PS We have official confirmation that the game will come to PC, ladies and gentlemen.',negative
'BATTLEFIELD 3 BATTLEFIELD 1 BAD COMPANY 2 HORIZON ZERO DAWN NOMINATE: ',negative
'Check out my broadcast from my PlayStation 4! (Horizon Zero Dawn: Complete Edition) live at ',none
'Horizon Zero Dawn It’s a game about hunting down robot dinosaurs with a bow and arrow. What more do you need? Nothing, that’s why everything else is just frosting on the cake. An incredible story and characters with a fascinating world to explore and take part in.',positive
'Out of all the PS4 games I want enhanced with ray tracing on PS5, Horizon Zero Dawn & God of War are the only ones I can see that could look near real life with the effect. I hope they either patch it for PS5 or release enhanced editions to give us that visual showcase.',none
'Platinum #80: Horizon Zero Dawn. Fantastic storytelling, visuals, and gameplay! Looking forward to the sequel! 9/10 ',positive
' Did you kickstart the Horizon Zero Dawn BG?',positive
'Check out Horizon: Zero Dawn (blind)- !subscribe Check it out, . I’ll be there. (Wink?)',none
'Internet is down for a couple of days. They have to reset everything and we can’t get a tech in until Monday. ;-; Going to replay horizon zero dawn!',positive
' Thats the best time to pick one up. Allthe best exclusives are out with the systems relatively inexpensive, what with next gen on the Horizon. (Zero Dawn)',positive
'Only doing recent-ish games LoZ: Breath of the Wild Horizon Zero Dawn Uncharted 4 God of War The Last of Us ',positive
'IT\'S \"FANTASY FRIDAY\"! Playing \"HORIZON ZERO DAWN\" on PS4. Doin Dis Now ! Come watch the fun while I\'m Battling Ferocious Mechanical Beasts in a Primitive World. ',positive
' Hell to the yes. Also Outer Worlds, and (IMHO) Horizon Zero Dawn.',positive
'Earned 8 PSN trophies (8 bronze) in Horizon Zero Dawn ',none
'still need to beat Yakuza 0, Dragonquest 11 on Switch, Horizon Zero Dawn, Infamous Second Son.. the list goes on and on... I’m gonna do it though.',positive
'Starting Horizon: Zero Dawn for the....first time? BLIND! Come hang out! ',none
'Dave is still playing Horizon Zero Dawn. Come keep him company and be the 100th follower!! ',none
' Gonna play Horizon Zero Dawn ',positive
'I keep going through cycles of binge-playing Horizon Zero Dawn and not playing it for a week or longer bc I’m not ready for the emptiness I’ll feel when I complete it️',negative
