@relation tweets

@attribute text string
@attribute class {positive,negative,none}

@data
'Check out my broadcast from my PlayStation 4! (Red Dead Redemption 2) live at ',none
'I\'m now streaming on Twitch! Playing Red Dead Redemption 2 ',none
'Yet another Beautiful screenshots of Red Dead Redemption 2 ',positive
'Marlboro Man - Red Dead Redemption 2 ',negative
'How To Download Red Dead Redemption 2 On Pc For Free [Working] via ',none
'Marlboro Man - Red Dead Redemption 2 ',negative
' 1) The Last Of Us 2 2) Red Dead Redemption 2 3) Uncharted 4 4) Battlefield 1',none
'Check out my broadcast from my PlayStation 4! (Red Dead Redemption 2) live at ',none
'Red Dead Redemption 2 Gameplay Walkthrough Part 52 - The Mercies of Knowledge - VII , , , , via ',none
' *Laughs in Red Dead Redemption 2*',negative
'Red Dead Redemption 2 Walkthrough Part 18 - Pouring Forth Oil I, II & III via ',none
'Red Dead Redemption 2 Gameplay Walkthrough Part 51 - Stagecoach Robbery , , , , via ',none
'Marlboro Man - Red Dead Redemption 2 ',negative
'Red Dead Redemption 2 Gameplay Walkthrough Part 50 - Joshua Brown , , , , via ',none
'Feels weird to have literally doubled my Cores. Also feels weird to not have my CPU max out when playing Red Dead Redemption 2 or [Any Ubisoft Game made in the last 3 years] lol. h265 encoding cut down from 48 minutes (on my settings) to freaking 17 minutes. I\'m in heaven ',negative
' Red dead redemption 2 online ; formation of a permanent posse, putting down anybody in our way. 3 of us come together for a common goal, room to grow , help me reach 100 subscription goal,thanks!',negative
'How To Download Red Dead Redemption 2 On Pc For Free [Working] via ',none
'willsantoss played Red Dead Redemption 2 (PS4) in the last 24 hours ',none
'Krusty Yates played Red Dead Redemption 2 (Xbox One) in the last 24 hours ',none
