text,observed,expected
'I have a video coming out tomorrow about but here is my article about the success of the game. ',none,positive
'STREAM IS NOW!!! Star Wars Jedi: Fallen Order ',none,none
'Gotta Meditate to Accumulate Star Wars Jedi: Fallen Order [Ep14] ',positive,none
'The next Friday stream on Valentine\'s Day will feature a couple of new games on the HFC Livestream: - Power Rangers: Battle for the Grid - Star Wars Jedi: Fallen Order Hope to see you there! ',none,none
'The next Friday stream on Valentine\'s Day will feature a couple of new games on the HFC Livestream: - Power Rangers: Battle for the Grid - Star Wars Jedi: Fallen Order Hope to see you there! ',none,none
' When Are You Gonna Upload Star Wars: Jedi Fallen Order Episode 6?',none,none
'I\'m now streaming on Twitch! Playing Star Wars Jedi: Fallen Order ',none,none
'OPINION ARTICLE: Star Wars Should Be a Lesson: ',none,none
'How does Jedi Fallen Order overlap with other Star Wars media? We have spoken. ',positive,none
'Earned 6 PSN trophies (2 silver and 4 bronze) in Star Wars Jedi: Fallen Order ',none,none
'Gonna do a short stream of Star Wars: Jedi Fallen Order Link in the replies <3',none,none
