text,observed,expected
'Check out my broadcast Maliwan Raid (Borderlands 3) @Twitchtvhost live at ',none,none
'Red Dead Redemption 2 has shipped over 29 million units And Borderlands 3 nearly 8 million',negative,none
' I miss you :( we needa get back on the borderlands 3',negative,none
'bl2 before 3? ',negative,none
'Somebody want to run through Borderlands 3',negative,none
' So recoil in borderlands 3 pushes the camera up and to the right?',negative,none
'Chaos ensues over at with some more shooting and looting on 3 and then after with the Squad ',negative,none
' Dark Souls 3 (or any fromsoft) Skyrim/Fallout 4 (for mods) Borderlands 2 (not for the writing!) Undertale (Fight me) ',negative,none
' they look cool af might give borderlands 3 a try',negative,none
' Are people just finding out you voice characters? You’re literally FL4K in borderlands 3. Like you’re epic',negative,none
'Ohey I forgot about Borderlands 3. Never finished it ',negative,none
' In Borderlands 3 you can play as a non-binary robot named Fl4k and you get a pet who you can make target enemies and stuff if you play as them',negative,none
' hi guys, a random question here. Do you have any plan to release Borderlands 3 on Steam anytime in the future ?',negative,none
'Does anyone know if BORDERLANDS 3 is any good ?',negative,none
'i had a dream and borderlands 3 was in it but i dont rmbr what',negative,none
'I finish Borderlands 3 and i have few questions - Is Ava was intentionally made like that or they just screw up?',negative,none
'I think about Zer0\'s intro scene in borderlands 3 a lot ',negative,none
' \"HD\" gaming really fucked the whole thing, though. The amount of detail \"needed\" in new games makes split screen so difficult, on hardware and from a gamefeel standpoint. Ratchet and Clank vs mode is still fun but Borderlands 3 sputters and fucken dies.',positive,negative
' been a few months since launch when are we gonna see some fixes to local co op gameplay???? Split screen was the best bit of BL1 and 2 but I can barely even play with my brother\'s/friends in number 3 cause if the issues',negative,negative
' Borderlands 3 is a disaster. Who is responsible for this game? It’s awful. The previous two games are a million times better.',negative,negative
'I wanna play the co-op modes in Borderlands 3 but apparently the matchmaking is bad?? I tried once like 2 weeks ago and had no issues at all but recently, I can\'t get into any games and found some posts online of people complaining about the same thing',negative,negative
' Damm what about us Borderlans 3 players',negative,negative
'i NEED BORDERLANDS 3',positive,positive
' Horizon: Zero Dawn, Resident Evil 2, A Plague Tale, Hellblade, and Borderlands 3 are all fantastic.',positive,positive
'Been so busy I kind of forgot I haven\'t played Borderlands 3 in months (and I wasn\'t very far in the game). Guess it\'s time to pick it back up ',positive,positive
'I\'m on my second Vault Hunter and I still can barely believe Borderlands 3 is here and I get to play it',positive,positive
' Also, I have to say, great job stadia. Everyone is giving you hate but come on, 4K 60fps HDR Surround sound. I love stadia, I love the games, mostly borderlands 3!',positive,positive
'Beat borderlands 3. I think the story in borderlands 2 was cooler but the gameplay in bl3 was way better in my opinion. Pretty much the whole time I was doing something important but in borderlands 2 it seemed like there was a ton of filler and it got really boring sometimes.',positive,positive
' As in some preset configurations? That’s a step in the right direction. What gamers, particular disabled gamers, are in need of nowadays are fully customized controls. Being able to assign each action to whatever button they wish to use. A great example is Borderlands 3.',positive,positive
' Nah fam, you’re good. Stay right where you are. Keep covering Borderlands 3. It’s great for your channel.',positive,positive
' Some good ones there. PS4 here. Been spending time on AC Odyssey lately. And Borderlands 3.',positive,positive
' Borderlands 3 was okay Its got a lot of bugs for me tho',positive,positive
'i have completely sold my soul to borderlands 3',positive,positive
' I\'m playing Borderlands 3 an I\'d luv it if u would have a character with sniper attributes or an attribute for our characters. Because some ppl snipe alot. Please add this to this game cause u get nothing for sniping but a trophy, ty much appreciated.',positive,positive
'I have to be at work in seven hours but here i am farming legendaries on Borderlands 3 instead.',positive,positive
' I agree! I\'ve been a fan of his content for years and it brings me so much joy to hear him in stuff like borderlands 3!',positive,positive
' Day 3 of my Jacobs Allegiance run in Having fun in a whole different way!!! Stop by and say hello!!! ',positive,positive
'You guys should play Borderlands 3. It\'s pretty fun. If you want to get it on PC use this link, it supports me. ',positive,positive
'Hey, fuck FFXV for the night, Borderlands 3 might be good, yeah?',positive,positive
' They look awesome Zoe so sexy and I love the hair. My fave games are Bioshock, Borderlands, the last of us, kuon, hmmm fallout 3 and Vegas. I hope I don\'t forget...ah the forest. I think thats all. ',positive,positive
' Borderlands 3 earned it',none,positive
'After beating 3 and playing a couple of hours of the endgame, I have to say that the 1st half of the game is kind of rough and I can see why it turned off some people. But if you push through and get to the 2nd half and the endgame, it gets really freaking fun.',negative,positive
' My four favorite games include Final Fantasy Tactics A2 🦲🦲🦲🦲🦲Hitman Blood Money Borderlands 2 SSX 3',positive,none
