@relation _Users_gianluca_dataset

@attribute text string
@attribute @@class@@ {positive,negative,none}

@data
'Check out my broadcast from my PlayStation !  live at',none
'Check out my broadcast from my PlayStation !  live at',none
' is amazing! Definitely worth the buy! I just hope that we gonna get a whole new variety of body kits,spoilers,goods etc because there\'s still very few in the game which i think is a must! But nether the less a great game!',positive
'I love how I have to delete games on my Xbox because  takes up all my storage with updates the size of a whole game',negative
'Big  update 3 today i will try to cover it today but will share patch notes once they become available. Have a good day everyone.',none
'I\'m actually loving the first time I heard the baby cries come through the speaker on the controller scared the ish outta me.',positive
'Fuck this game',negative
'Check out my broadcast from my PlayStation ! live at',none
'Check out my broadcast from my PlayStation ! live at',none
'Check out my broadcast from my PlayStation ! live at',none
'Check out my broadcast from my PlayStation ! live at',none
'Check out my broadcast from my PlayStation ! live at',none
'Check out my broadcast from my PlayStation ! live at',none
'Check out my broadcast from my PlayStation ! live at',none
'Check out my broadcast from my PlayStation ! live at',none
'Check out my broadcast from my PlayStation ! live at',none
'Check out my broadcast from my PlayStation ! live at',none
'Check out my broadcast from my PlayStation ! live at',none
'Limit your story telling! is a damn masterpiece',positive
'Hi, i have a problem in , i win a match and my oponent leave the game, but the match dont count in my champions',negative
'Check out my broadcast from my PlayStation !  Follows Deep?! live at',none
'playing  and man years later and i still love this game',positive
'Why is the matchmaking so fucking shit in this game? I was just -6 and got matched with someone -2 who destroyed me. I’m trying to get gold for the first time ever while this guy is on track for elite . We should never be matching',negative
'. Thank you for a beautiful eerience with ',positive
'will need to upgrade his accuracy',negative
'I’m playing  atm. It’s fun!',positive
'was kinda shit',negative
'is my favorite game!',positive
' is such a shitty game, plz fix everything',negative
'Create a Class in Call... -of-duty-guides -of-duty-tips-and-tricks -of-duty-modern-warfare -of-duty-modern-warfare-character-classes -of-duty-modern-warfare-create-a-class',none
'story kinda interesting with the cops',positive
'i hate delivery',negative
'Okay me and my bros just successfully completed Zetsubou EE. hrs later, we on for a few rounds, before bed. Come watch!',none
'If anything I think it would affect the way he markets the game next time. is a great game',positive
'fuck is shit',negative
'HiNTER DEN FELSEN CAMPEN !  Blackout Alcatraz via',none
'This game is amazing. What’s do you think about ',positive
'sucks the story is unecessarly complicated and is more like scribles of a year old that tell you if you can\'t understand it then you can\'t understand art.',negative
'This is why I love the carbine. NEW video on YouTube coming soon. Check out what’s there at the moment. Link in my page',none
'I love Photo Mode!',positive
'I know the GK\'s don\'t catch the ball in game, but not touching the ball at all is something else..',negative
'That’s too bad. is a fantastic game.',positive
'-after playing for a couple weeks now, I can confirm that’s its compared to previous years. Why can’t you choose to play against certain teams online on anymore? I want to play against fellow Bronze teams instead of teams with Socrates and Okocha in!',negative
'I recently played the campaign and I loved it so much. I can’t remember if you’ve tried that or not.',positive
' drifting is actually awful. No balance between a drift built car and a car not built for it. Maybe I\'m terrible I don\'t know, but I really hate this games drift mechanics.',negative
'I\'m now streaming on Twitch! Playing ',none
'I\'m now streaming on Twitch! Playing ',none
'I\'m now streaming on Twitch! Playing ',none
'The  soundtrack is so damn good.',positive
'is overrated',negative
'Small stream  live at',none
'I been playing  a little bit lately. It\'s a real fun game. Love how open the open world really is.',positive
'the weird thing about is that it makes me wanna play mgsv instead',negative
' is a good game.',positive
'is good they said... is fun they said....',negative
'On fire tonight! Didn\'t lose a game. Son + Aguero dream partnership. Meyer and Battaglia rock solid in CDM. Still games remaining. Tempted to play more tomorrow. Siiiiiii',positive
'was bottom of the barrel dog shit, it wasn’t worthy of a $60 price point I’m glad it dropped by half a month after release',negative
'Good morning follow me on YouTube Soon a new  video.',none
'After entire season in career mode I have to say that is much better than I eected. Switch to manual controls and it really shines! Great simulation plus stunning visuals and ..lifelike commentary of Derek Rae &amp; Lee Din . . Bye bye .',positive
'elain this then.. How does a player with shooting miss this?? Shooting on is diabolical absolutely bullshit get it fucking sorted',negative
'Bro defence isn\'t shit... It easily means you do not know how to defend.',positive
'are the servers down I ca r connect to the server on',negative
'It beats  Payback ( payback had nothing in it No Cops No Customisation really) with it Brought the fun back into a modern day Racer Basically it felt like  but more up to date. I just think the story is less on the long side.',positive
'Finally got and the damn thing don\'t run properly can\'t get into a game. Just finished watching yesterday video and got all hyped to play',negative
'I\'ve enjoyed watching you play. It has definitely been a diffrent type of video game but I really do like it',positive
'I am sorry but this patch is a joke. All my shots in the box gets AI blocked or delayed. What\'s that. I\'m not enjoying this patch',negative
'Silent Scopes, not so silent',none
'Just finished by Kojima. Really enjoyed it but takes hours in to start to get the flavor. Very unique game. You play alone but other players actions can affect your world. All about making connections with people.',positive
'is a failure.',negative
'Playstation PS4 BRAND NEW',none
'. I\'m actually having a lot of fun with it!',positive
'hello, I am facing a severe delay in the movement of the game in playstation since months, knowing that I have contacted the i3d company and I have no problem with the ping and my connection is fiber.',negative
'It’s pretty good. I haven’t played in awhile because the scale of the game can be overwhelming but it’s still a lot of fun. I’ve been playing lately and that a ton of fun',positive
'Trying the  campaign for my Star Wars fix and the premise is cool but holy shit is this not fun at all I dont think I can do hours of this',negative
'Call of duty: Modern Warfare',none
'god holy fuck i love that game really said gay rights',positive
'no game has ever stressed me out as much as what the fuck man',negative
'Playing more today and in terms of story, cutscenes and eition I’m really quite enjoying it.',positive
'Thanks EA! First game of the day. -0 e min for me. The guy press start. he rage quit the game. “Problems with the ea servers” I get a lose en a focking match gone! EA FIX YOURE FOCKING DAMN GAME',negative
' fucking good ',positive
'Well done yous outclassed yourself again found another way to make worse!! Iyodare was ment to have feces for career mode not make players keeper unable to make a single save',negative
'what a game this is',positive
'if same this same the servers plz dont produce any more plz',negative
'Iain Lee is LIVE on Twitch streaming ',none
'I am loving I really am but did you guys know that it can be both realistic and fun at the same time... Mind blown',positive
'is so unbelievably broken rn',negative
' best game',positive
'lol, I have lost interest in , it is trash, plus the EA server lag.',negative
'OMG!!! How is still so broken?! Game freezes after some matches forcing me to close the game. In gunfight it will spawn me with no gun in hand. Call outs/voice over stop during match. please fix this!!!',none
' , seriously i cant get enough of this game',positive
'What have you done to my account on on ps4? I legit cannot get a walkout!! My -88 gauranteed player was in fact an ! I haven\'t had a walkout all so far!! This has to be a joke!',negative
' is addicting',positive
'All that possession because he was dropped right back. So hard to break through as he wasn\'t even trying to press or manually defend. But as its random long balls punted up to mane is effective. Seriously don\'t know how people enjoy playing that way.',negative
':  (GOLD M4 A1 LVL ) (PC)',none
' On the PS4 it’s just an awesome game',positive
'and this is why ladies and gentlemen will never get better nor any other future',negative
'This isn\'t amateur hour! I\'m still crushing some .',none
'I\'ll be your best friend! Because I \% agree with this! No hate to BOTW amazing game to! But was my shit! I loved it so much!',positive
'Kojima is overrated. I enjoyed MSGV but it has a lot of short comings. He can make the worst game possible and still be considered a visionary. The man didn\'t even know wtf his game was offs. For a game that had so much hype around it seemed to have died quietly',negative
'Not feelin too hot tonight. Probably gonna be a short one.',none
' is a pretty good racing title and more people should buy it',positive
'Quick sell its shit the gameplay is trash',negative
'I mean,  is also an amazing game, but nfs underground just has a special place in my heart. I\'m emotional, man.',positive
'Did they ever wind up releasing that update for that increased font size? It’s still total garbage.',negative
'Loving ',positive
'And isn’t real soccer',negative
': SUMTING LIGHT!!! LINK:',none
'Played  again after months of being away from it. Holy crap is it awesome! I know this game got a lot of flack starting out because of EA but it has changed for the better and I’m definitely going to be playing it more!',positive
'Gameplay is utter garbage right now.',negative
'Why stress ? Just chip -',positive
'is the shit, along with Ghost Recon: Breakpoint',negative
'This game has inspired and motivated me in so many ways Thank you all for your hard work',positive
'Playing defense in is the dumbest and most boring thing ever.',negative
'Before we go too far, do I need to buy a new for the PS5',positive
'Fancy reimbursing me for the amount of contracts I\'ve used today? Had to quit out of or so games now due to horrendous input delay. Sort out the awful servers.',negative
'Gold Camo Completionist: M13',none
'isn\'t bad. In fact it\'s better thant the and . But was very good. Ball physics was great (improving from other opus). But since it\'s worse. Disappointing. Try to play PES sometimes. So then you can appreciate more to change game eerience and return to.',positive
'That doesn’t make any sense. Just because you play on a specific platform doesn’t mean you are open to more or close minded to more. is just garbage. Mostly everyone agrees it’s the biggest disappointment in .',negative
' - Xbox by Artist Not Provided',none
'holy fuck  is so much fun',positive
'Dragon Ball Z Kakarot is better than . One feels like a game, the other a music video.',negative
'One of my current COD Game Plays',none
'My first impressions of : UNBELIEVABLE I bought the game yesterday morning and it’s now AM. I have to say it’s definitely difficult to put down! I want to say that if you’re undecided on getting this game it’s understandable /',positive
'I was not a fan. Ugh.',negative
'CALL OF DUTY MODERN WARFARE !! …',none
'The soundtrack was literally one of the best of',positive
'were good and were ok is shit',negative
'This is SHOOTHOUSE With DooM Clan...',none
'Best game you’re playing right now? For me it’s ! The controls are wonky at first, but once you get used to them the story is a lot of fun. It reminds me of a better version of Far Cry.',positive
'No girl plz don’t play that shitty game ever again but can u play God of War',negative
'i want to replay just so i can eerience that heartbreak again',positive
'It\'s really taking me a while to get properly into',negative
'And thats a V2',none
' was brilliant. There I said it.',positive
'Why are the physics in such a fucking joke',negative
cracked,none
' multiplayer, i know you played through the story but the multiplayer is soooo much fun now, worth pulling it out again.',positive
'I call them movies. I mean look at. That shit it\'s a movie with player interaction',negative
'New Video is live now on YouTube! Head over and watch and also please like and subscribe! Comment done when subscribed and I will subscribe back!',none
'also so far is wack',negative
'[]. $38.99 (59.99/35\%). Standard Edition',none
'Yep that’s true. Don’t think realise that can be both realistic and fun at the same time.',positive
'obviously suffered some big re-writes.',negative
'! I might actually do it! (Insane gameplay) via',none
'Yes dude!!!! I’ve been loving as well!!',positive
'is not good please tell someone to fix it',negative
'I\'ve been playing  ! Its in a super good state atm. It might be worth a retrying!',positive
'Florida Mutineers on preparing for  League season, slide canceling in :',none
' is one of the best games I\'ve played in years, underground is still amazing but is pretty close!',positive
'is \% garbage british rap, where and when, and stretch it are probably the worst songs ive ever heard',negative
'Now LIVE on ',none
'why am i.... THE ONLY PERSON ON THIS PLANET THAT ENJOYS ?!',positive
'What piece of shit this server',negative
' early patch notes, update time, playlist changes, PS4 Xbox One',none
' early patch notes, update time, playlist changes, PS4 Xbox One',none
' early patch notes, update time, playlist changes, PS4 Xbox One',none
' is my favourite game right now',positive
'is the second worst triple a game of all time, just behind',negative
'is one of the most fascinating and memorable games I\'ve played in years. In all facets: story',positive
'is so bad',negative
'is so bad',negative
'Come watch while he plays on Twitch!',none
'I love for the story and I also love eloring. The terrain itself is a challenge and a foe to overcome that requires strategy. I frigging love this game. I have hours logged in and just got to the second region. Been playing for a little over a month now.',positive
'I bought instead of this and I regret it daily',negative
' , its a nice game u know lol',positive
'Feeling like a sucker for not giving more time. I’m sorry. Maybe I’ll try again in a few months but right now I really don’t wanna feel like I’m working for Amazon Prime for free',negative
'never understand why have ttv tag if you don\'t have a channel or gunna be super rude when ask what it is so I can check it out like we just trying to have some fun out here. btw hows the Molotov',none
'And finally for part two could be even bigger and better and hands down one of my top games this gen so good',positive
'is my last. It is fucking abysmal.',negative
' v3s on Pine! via',none
'A real Masterpiece. One of the greatest games i‘ve ever played.',positive
'as been shit played  lost the games cause cause of shit play game mode I got both wired and wireless on and now with this team less than min into first half lost all my coin fix this pls lost over kcoin in less than min',negative
'Extra custom class slots will be arriving in  today',none
' is cool, cod is just for console, r6 is possible, ark seems fun',positive
'is the most overrated game of the decade.',negative
' January nd update release time for PS4 and Xbox One',none
' was good. Hating on it because journalists liked it is fake edge.',positive
'is garbage',negative
' is on the list as one of my favorite games of all time. Thoroughly enjoyed every minute of that eerience.',positive
'Lol thanks EA winning -1 and shit servers make me lose because a diconnect',negative
'Switching to . Get in here.',none
'Switching to . Get in here.',none
'I just love this game...',positive
'looks like the least enjoyable video game of all time',negative
'woah looks litttt',positive
'pfft. It doesn\'t make any more interesting....',negative
'please take a minute to watch and like my new Montage please',none
'Lol forced me to learn tactical defending',positive
'I will probably get hate for it',negative
'I Dey tell you, devil is at work. makes better sense',positive
'There is absolutely no joy of gaming in !!! Seriously',negative
' Weapon Conversions/Ideas : G36K A4 via',none
'Finished , whoa, this was one crazy original story, really wrapped up nicely to have everything make sense, and ending took a couple of hours and felt like I was watching a movie, truly amazing design, concept, and outstanding acting from an all star cast!',positive
'The officiating in the prem is nearly as bad as it is in hth',negative
'please give me the code',none
'please give me the code',none
'I\'d highly recommend  if you need a great game this year.  definitely returned to form in this one.',positive
'Lmao this game is so bad. Just destroyed someone a full game. He’s scored th minute on an aids goal to tie and go to extra time. I score th to tie and I win on PK’s. Even when I win I still recognize how shit this game is. Robbed of gold this weekend',negative
'played (Xbox One) in the last hours',none
'And you were right about , am doing a career mode with Werder and the stadiums and faces are fantastic! I guess PES has the official license to Euro as an add on so I picked that up as well but haven’t opened it because Fifa is so good!',positive
'is a weak',negative
'What’s  BR have to offer especially  that would make the sub genre remotely interesting? I mean we’ve got a taste of plenty of BRs to choose from. Mostly appeals to outside sources who enjoy slow style play which is a reason the fanbase doesn’t like MP',none
'Finished. And wow. Shook. This game is just. Wow.',positive
'For me the worst game released in game-wise it\'s fun but there\'s just nothing to do in it there\'s no content',negative
'If Anything , Ww3 Draft Ask About Eerience ? Ill Give Them This',none
'Rolled credits on - what an amazing eerience. A game hasn\'t resonated with me',positive
'Well they can get you I’m takin mine back',negative
' Best one in awhile',positive
glitch,negative
'I had some genuinely ask me why games such as Minecraft or Fortnite are so successful. Because why would anyone want to play a game with such bad graphics compared to games such as  or Assassin\'s creed blackflag. It baffled me.',none
'hey how u doing today I play  but most enjoy your video I try hard on the game because it best out there',positive
'is awful. Celebrities aren\'t going to save a bad made video game',negative
'Ohhhh baby a QUAD HEADSHOT FEED!!! Follow my IG for daily uploads',none
'You can tell people who call a walking simulator clearly havent played it. One of the best games i have played this gen. So many ways to traverse',positive
'Americans sure do love shooters. But is still boring AF though',negative
'Random guy chats then says minat game ke... and i be like yeah cod and r6.. him: cod mobile ke Me: no la  Him: pulak..  lah. Cod. Lol My heart: HAHAHAHAHA kau mw pon tatau takyah main cod la',none
'So I know is a pretty divisive game, but I’m really loving it. It’s one of the most beautiful games I’ve ever played and it has good pacing. It also discourages killing and remains a lot of fun. Great game, !',positive
'I was never able to get into mostly because of the gameplay. My attention span is way to short.',negative
'i might be a little late but i just finished and it was absolutely amazing. Thank you for another masterpiece. Looking forward to the next game you make.',positive
'Yet again they\'ve made the game worst with the patch',negative
'Messing around with some ..',none
' is one of the weirdest games ever...and I kinda like it.',positive
'Overpriced as hell',negative
'The pop-off',none
'Playing again after ages felt good. I really love the cutscenes',positive
'Fallout was trash and so was IW. is just updated . All sport games are a money scam',negative
'Sometimes I wonder how I aim like this | , Saudi Arabia',none
'I love',positive
'cannot get any more bullshit like this shit is literally unplayable online now how sad, i literally came back to since and i come back to this bullshit',negative
'Gold funtime',positive
'I love it when I’m playing a FRIENDLIES game for an objective and I’ve got some try hard kid shushing me every time he scores. Honestly, has the worst community of players.',negative
'Hello everyone hope you guys enjoy my video I got more coming so please subscribe',none
'babe i am not trying to fuck your mans, i just really want to play without paying for it. now gtfo of my face.',positive
'Graphics don’t automatically make a good game for me',negative
'This game is so pretty',positive
'I am really worried that I might not finish. I am at a part I really dislike',negative
'Enjoy the game',positive
'is an anxiety nightmare &amp; I wish Kojima just made it a movie or series so I can just enjoy the world building &amp; characters without wanting to die. Anyway I’m glad it exists, but it’s not for me, let me know if you’ve found a good Let’s Play or something',negative
'Wow so is probably the most emotional game I’ve played in a LONG time. This is incredible.',positive
'Haha will do! Is that bad? It doesn\'t really interest me personally but I have heard mixed things',negative
'Bored? Check out my best buddy playing ! It’s a phenomenal game. From everything I have heard it’s a lot like the NFS: Underground series!',positive
',mgs4,doom are very overrated',negative
' Remastered (1080p fps) | Morning streaaaam',none
'I honestly think plasma pistol is the best design.',positive
'This would hold more weight if the worst parts of weren’t combat involved. He’s just salty that people didn’t like his game',negative
' live at',none
'Last night my journey through came to an end. It was an often emotional',positive
sucks,negative
'Defending B by myself',none
' games still have the best car customizations and that is probably the easiest part of a racing game to get right. currently has the best customization next to Underground .',positive
'> is a fuccing snooze fest park the bus simulator',negative
'Opti316 is Live on Playing:  Stream Title: oops my fault Drop by and join their community of followers!',none
'I really love and the MGS games...but Hideo writes like someone who\'s been told he\'s a genius his whole life.',positive
'Great, just found a bug that turns your team into a concept squad. Wtf man.',negative
'I love photo mode!',positive
'Better than',negative
'A BIG Title Update is coming for : Later Today - Including: - New Crossbow Weapon - More Class Loadout Slots - And Much More Stand by for Further Details:',none
'This is more than just a game thanks for this amazing eerience',positive
'This is a daily mood when you play this damm game...',negative
' was so good ouch my heart i cant take this',positive
'I don’t think I’ll ever understand the story of . It’s basically a walking simulator while defending yourself in it. Give a shot',negative
'OVERPOWERED AUG WEAPON SETUP  AUG BEST CLASS) via',none
'Status: Nice',positive
'My father also brought home a game today. I am gladly enjoying my new frisbee, just kidding isn\'t even good enough to be a frisbee. I don\'t even want to throw it in the garbage because I\'m scared I\'ll make the trash disgusted.',negative
'Im live streaming call of duty on twitch and just became affiliate please come by and say hello !',none
'Hello I genuinely love so much. I love the pace',positive
'lol it took me h to play games in fut champs Left games to save time. Woke up at am to play and it was worth it. A bit better gameplay at night but overall it was horrific lag compensation at times. Job done , so let\'s not complain...',negative
' is a great eerience',positive
'The fact that solving the clues is more entertaining than playing the game speeks volume. Please focus on fixing gameplay and more importantly connectivity. How on earth the connection quality is worse on than previous years?!',negative
'I LOOOOOVE this game and I’ll tear into it once I’m done with',positive
'Nah. isn’t worth playing at all',negative
'live at',none
' is my favorite game!',positive
'Well i cannot see how you might be right , but i can pretty much say that both were pure shit , even though , in the first week was promising',negative
'Consulter ma diffusion depuis ma PlayStation !  live at',none
'Consulter ma diffusion depuis ma PlayStation !  live at',none
'Consulter ma diffusion depuis ma PlayStation !  live at',none
'Consulter ma diffusion depuis ma PlayStation !  live at',none
' is a good game :/',positive
'is actually actually SHIT',negative
'Pulled off at stream on that was incredibly some great and some crappy ones all in all it was fun playing with my remember a family that together stays',none
'&amp; ... Two of the Best Games of this Generation... :',positive
' is such a poorly made game. Nothing works in that game like who thought this was a good idea to put out',negative
'I just finished and I cannot go to bed without first saying that this is one of the best games I have ever played. Fuck...man',positive
'This year Is a really bad game with orrible gameplay.',negative
'Ready to LVL UP THE GAME? Unlock exclusive item drops in . Just follow us, and then tweet with .',none
'Ready to LVL UP THE GAME? Unlock exclusive item drops in . Just follow us, and then tweet with .',none
' is by far the best game I have played',positive
'I can\'t believe has yet ANOTHER huge mandatory update! This game is fast becoming a parasite on my HDD, consuming it entirely! It\'s just getting ridiculous now!',negative
' is a good game',positive
' is a good game',positive
'is so scary....',negative
'is my favourite Video Game on the PS4',positive
'fuck if you have good servers then only you can play properly. that is the most incomplete game ever',negative
'A NOVA RX570 GB PCYES + GAMEPLAY ',none
' is so fun omg',positive
'Squad battles - elite one k points in total Two rare mega packs Ruffier and Pickford and they\'ll be some guy in silver one with a headliner neymar ... Game is seriously unfair !',negative
'Earned PSN trophy (1 bronze) in ',none
'Whoah Injust started playing  and this game is phenomenal',positive
'Not really he just struggling because is dead slow game play gorilla on faster more responsive gameplay will get further in tournaments',negative
'- I’m continually impressed and even emotional about how immersive the world is that has been built... Even moments like this - *if you know it, y’all know what I’m talking about* - that keep you connected to the entire game world and not just the main story.',positive
'It’s been months since I last played a game on and I’m so glad. The gameplay+fixing is so stressful and just annoying. Hopefully is good and fun.',negative
'Controlla le trasmissioni dalla mia PlayStation !  live at',none
' is the first one I played and I actually like it so far, mustang and a locus sports car so far',positive
'I went and did the dumb move a month ago, pay one month for Origin Access Premier to try new . Car physics felt so bad, almost impossible to drift. Bad optimization also atleast compared to Forza Horizon and much worse graphics.',negative
'PapaLeeroyHD is Live on Playing:  Stream Title: Let\'s get Sweaty! Drop by and join their community of followers!',none
' is a masterpiece and was fun as well',positive
'I hate',negative
' is a go',none
' That\'s the closest we got to a successor to NFS Underground yet. There\'s still a lot of work to do, but the reworked handling model did wonders to make the game a lot more enjoyable than the most recent entries.',positive
'normally shows a ton of info on screen, more specifically where cargo is, something that is very crucial in terms of gameplay. You can disable the cargo location icons, but this makes the game almost unplayable, mostly because of the vast scale of the environment.',negative
'Still streaming  [02:59]',none
'Thank you. was beautiful. Episode broke me. You are the Legend.',positive
'why at the end of a match (which I have just won) the game crashes and goes off then when I turn it back on its says I disconnected?? Why do I get punished that??',negative
'I\'m now live playing  over on Mixer:',none
'I\'m now live playing  over on Mixer:',none
'I\'m now live playing  over on Mixer:',none
'I\'m now live playing  over on Mixer:',none
'I genuinely had a lot of fun with  solely because you can tell the devs actually cared about the game and it does do some impressive stuff (100+ zombies on screen with surprisingly good AI) and while the story was very shlocky, it was B Movie shlock.',positive
'Still More realistic than',negative
'I Thought I’d Hate , Instead I Loved It PC',positive
'Well will make you realize most songs were good',negative
'We need sniper only maps please ...',none
' is really a good throwback to the old Underground/Most Wanted days.',positive
'Not that it needed my stamp of approval, but it\'s definitely official now.  IS THE WORST  IN THE HISTORY OF THE FRANCHISE. CAN POUND SAND.',negative
'Pt. can you please check in to this issue I am flagging, that showed up in the last days in . It\'s like some issue with aim assist or something. Issue is elained in the youtube description for the vid. Link:',none
'Pt. can you please check in to this issue I am flagging, that showed up in the last days in . It\'s like some issue with aim assist or something. Issue is elained in the youtube description for the vid. Link:',none
'Yo real talk I\'ve had so much fun playing. It\'s so easy to get distracted from your own personal issues and just get lost in such a vast open world. Can\'t wait to play more.',positive
'I can\'t play another minute of. I\'ve tried to get into it',negative
'Playing . Friend: You should start streaming when you play Call of Duty Me: *dies in game* SON OF A €\%+^€, YOU +^&lt;€+^+, WHAT THE +^¥• Friend: You should not stream when you play .',none
'its my favorite game',positive
'This new patch is the biggest load of shit Ive ever played. Gameplay feels fucking dreadful. My Hazard can’t dribble anymore, my Best can’t pass anymore, and my Suarez can’t score. My entire defense feels like they’re semi trucks trying to turn now. Fuck you',negative
'can i play all my blizzard games on my shield i want to play  but im wondering do i need a external hard drive for geforce now for ',none
'Wow. Just finished what an incredibly beautiful story. thank you. If there’s a today',positive
'You gotta record it dude. It\'s fucking terrifying. I don\'t under stand how the guy who made something so awesome also made aka the worst game ever made',negative
' was a great game not gonna lie it was really good I enjoyed it. But I didn’t like the way it ended, there should have been more missions with Anna because when Taurus became Lieutenant she said she was going to end racing but it was a great game.',positive
'And got nominated for some many awards. I found it so boring.',negative
' early patch notes, update time, playlist changes, PS4 Xbox One | Gaming | Entertainment – NEWPAPER24',none
' is really good and u can roam around and discover stuff which is cool to me. and until dawn (scary game) is suuuper good and feels like ur in a movie!',positive
'I agree. On u literally have to PRAY for any pass to get to the right Player, players pass the ball around so u cant get it, u have to play drop pack to be able to defend pace wh**** bc pace is broken and winning just depends on luck. On , yes there were more',negative
