@relation tweets

@attribute text string
@attribute class {positive,negative,none}

@data
' Valkyrie from God of war! ',none
'real orthodox jews are not in favor of the zionist/atheist illegal lands of israel....those lands used to be peaceful, with all of the main one god religion proponents living in peace...now it is a war zone...why are folks unable to SEE the truth?',none
' So the other heavy runic I had doing this that does a similar move is Tartarus Rage. Did I successfully execute a runic that is a fusion of Tartarus Rage and Glaive Storm ? I hope in God of War 5 Kratos has attacks that are a hybrid of Blades of Chaos and Leviathan Axe attacks.',none
' Le chat de god of war : Catos !! ',none
'ritazzplayerz played God of War: Ascension (PS3) in the last 24 hours ',negative
' The god of war and the god of peace are the same god; identical in principle but intentionally oppositional.',none
'Even in the midst of drug addiction, God is always right there. Order \"The War Within: My Story\" now. @josifwright available at Amazon --> ',positive
'\"I am fighting a different war, under the banner of a different god. She is 4 foot high. She exists only in 2-dimensions. I would lay siege to whole cities, burn entire flotillas, kill 1000 men without a second thought, all for her. What, no! Don\'t say that. Canonically she is-\" ',negative
' I was going to do one but Kasper was playing God Of War and i didn\'t want to get killed by trolls ',positive
'China’s Massive 1,320-Ton ‘God Of War’ Statue Is 190 Feet Tall ',none
' It’s easily up there with Horizon Zero Dawn and God of War. So good',positive
'This is for the vikings mains, hope you like them. Yes I know I said I would do jj and nuxia. Very quick, Warlord has 2 armors fused together with a bear pelt on his helm, Beserker has chainmail and a wolf pelt plus some bones as armor cause why not. Also god of war vibes BOI! ',negative
'I don’t have much in common with Trump thank god but I do relate to him in 2 ways, which is that I would have also faked bone spurs to get out of a war and I also probably thought the Chiefs were from Kansas.',positive
'NEW episode from Bards Of War. Powerful analysis about evil embedded in our govt and the world, holding on to faith in God, Q and timing of The Plan. Plus his voice is \'smooth\' and \'rich\'. (I used to produce radio and TV and cast talent. Great voice) ',positive
